"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"1",1,"124778","To ask the Attorney General, who the the lead non-executive director and other non-executive director board members are in the Law Officers' Departments.","<p>The non-executive Board members for:</p><ul><li><p>the CPS are: Jeremy Newman, Monica Burch, Alison Porter, Mark Hammond</p></li><li><p>the SFO are: Simon Duckworth OBE DL, Tony Osbladiston and Ruth Evans</p></li><li><p>GLD are: Jeremy Newman, Oonagh Harpur and Jenny Rowe, who is an Independent External member of GLD’s Audit &amp; Risk Committee and does not sit on the Board.</p></li></ul><p>There is no lead member in any of these instances.</p><p>The AGO and HMCPSI have no non-executive directors.</p>","Ruane, Chris","Labour","Vale of Clwyd","Buckland, Robert",2018-01-24,2018-01-29,1,"nonexecutive, director, review"
"2",2,"124127","To ask the Attorney General, how many cases reviews have led to a reversal of a decision by the CPS in each year since the introduction of the Victims' Right to Review Scheme.","<p>The Victim’s Right to Review Scheme (VRR) was launched by the Crown Prosecution Service (CPS) in June 2013. The right to request a review of a CPS decision arises where decisions are made not to bring proceedings (i.e. at the pre-charge stage); to discontinue or withdraw the case ending all proceedings involving the victim; to offer no evidence in all proceedings relating to the victim; or asks the court to leave all charges in all proceedings to lie on file. These are defined as qualifying decisions. If an appeal is upheld it may be possible to bring proceedings against a suspect if the original decision is found, on review, to be wrong.</p><p> </p><p> </p><p> </p><p> </p><p> </p><p>The table below shows the volume and proportion of VRR appeals and the number upheld during each of the last four years.</p><table><tbody><tr><td><p>-</p></td><td><p><strong>Qualifying Decisions</strong></p></td><td><p><strong>Total VRR Appeals</strong></p></td><td><p><strong>% of Qualifying Decisions Appealed</strong></p></td><td><p><strong>Upheld Appeals (Decision Reversed)</strong></p></td></tr><tr><td><p><strong>2013-14</strong></p></td><td><p>106,262</p></td><td><p>1,258</p></td><td><p>1.18%</p></td><td><p>197</p></td></tr><tr><td><p><strong>2014-15</strong></p></td><td><p>129,230</p></td><td><p>1,750</p></td><td><p>1.35%</p></td><td><p>221</p></td></tr><tr><td><p><strong>2015-16</strong></p></td><td><p>118,600</p></td><td><p>1,809</p></td><td><p>1.53%</p></td><td><p>189</p></td></tr><tr><td><p><strong>2016-17</strong></p></td><td><p>103,113</p></td><td><p>1,988</p></td><td><p>1.93%</p></td><td><p>137</p></td></tr><tr><td colspan=""5""><p>Data Source: CPS VRR Tracker</p></td></tr></tbody></table><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>","De Piero, Gloria","Labour","Ashfield","Buckland, Robert",2018-01-22,2018-01-29,2,"victim, right, review"
"3",3,"124128","To ask the Attorney General, in what proportion of qualifying cases a review was sought under the Victims' Right to Review Scheme in each year since 2013.","<p>The Victim’s Right to Review Scheme (VRR) was launched by the Crown Prosecution Service (CPS) in June 2013. The right to request a review of a CPS decision arises where decisions are made not to bring proceedings (i.e. at the pre-charge stage); to discontinue or withdraw the case ending all proceedings involving the victim; to offer no evidence in all proceedings relating to the victim; or asks the court to leave all charges in all proceedings to lie on file. These are defined as qualifying decisions. If an appeal is upheld it may be possible to bring proceedings against a suspect if the original decision is found, on review, to be wrong.</p><p>The table below shows the volume and proportion of VRR appeals and the number upheld during each of the last four years.</p><table><tbody><tr><td><p>-</p></td><td><p><strong>Qualifying Decisions</strong></p></td><td><p><strong>Total VRR Appeals</strong></p></td><td><p><strong>% of Qualifying Decisions Appealed</strong></p></td><td><p><strong>Upheld Appeals (Decision Reversed)</strong></p></td></tr><tr><td><p><strong>2013-14</strong></p></td><td><p>106,262</p></td><td><p>1,258</p></td><td><p>1.18%</p></td><td><p>197</p></td></tr><tr><td><p><strong>2014-15</strong></p></td><td><p>129,230</p></td><td><p>1,750</p></td><td><p>1.35%</p></td><td><p>221</p></td></tr><tr><td><p><strong>2015-16</strong></p></td><td><p>118,600</p></td><td><p>1,809</p></td><td><p>1.53%</p></td><td><p>189</p></td></tr><tr><td><p><strong>2016-17</strong></p></td><td><p>103,113</p></td><td><p>1,988</p></td><td><p>1.93%</p></td><td><p>137</p></td></tr><tr><td colspan=""5""><p>Data Source: CPS VRR Tracker</p></td></tr></tbody></table><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>","De Piero, Gloria","Labour","Ashfield","Buckland, Robert",2018-01-22,2018-01-29,2,"victim, right, review"
"4",4,"122859","To ask the Attorney General, what estimate has been made of the number of hot drink cups that are (a) used each year and (b) sent for recycling by his Department.","<p>The Crown Prosecution Service (CPS) does not keep records of the use or recycling of hot drinks cups. However, during 2016/17, the CPS recycled or reused 94% of its total waste.</p><p>The Serious Fraud Office (SFO) provides recyclable paper cups for the use of visitors and interviewees only. Approximately 2,000 of these are purchased each year. Staff are encouraged to recycle all paper waste, but records are not maintained on the number of cups that are actually recycled.</p><p>The Government Legal Department (GLD) currently makes no estimation of the number of cups used annually; however, none of the GLD’s waste goes to landfill.</p><p>The hot drink cups provided by the Attorney General’s Office (AGO) and HMCPSI for use by staff and visitors are ceramic and therefore reused rather than recycled.</p>","West, Catherine","Labour","Hornsey and Wood Green","Buckland, Robert",2018-01-16,2018-01-31,3,"visit, fifa, drink"
"5",5,"122735","To ask the Attorney General, how many sentences have been successfully appealed under the Unduly Lenient Sentences Scheme in each year for which statistics are available.","<p>The number of sentences that have been successfully appealed during the last six years are:</p><table><tbody><tr><td><p><strong>Year</strong></p></td><td><p><strong>2012</strong></p></td><td><p><strong>2013</strong></p></td><td><p><strong>2014</strong></p></td><td><p><strong>2015</strong></p></td><td><p><strong>2016</strong></p></td><td><p><strong>2017</strong></p></td></tr><tr><td><p>AGO contacted</p></td><td><p>443</p></td><td><p>498</p></td><td><p>676</p></td><td><p>713</p></td><td><p>837</p></td><td><p>943</p></td></tr><tr><td><p>Referred to Court of Appeal (CA)</p></td><td><p>82</p></td><td><p>70</p></td><td><p>122</p></td><td><p>136</p></td><td><p>190</p></td><td><p>173*</p></td></tr><tr><td><p>Sentence increased by CA</p></td><td><p>62</p></td><td><p>61</p></td><td><p>106</p></td><td><p>102</p></td><td><p>141</p></td><td><p>116</p></td></tr></tbody></table><p>* This includes 25 sentences passed in 2017 which have been referred to the Court of Appeal, but which it has not yet considered.</p>","Tomlinson, Justin","Conservative","North Swindon","Buckland, Robert",2018-01-15,2018-01-29,4,"unduly, lenient, sentence"
"6",6,"122843","To ask the Attorney General, how many ministerial directions were issued to his Department in (a) 2015, (b) 2016 and (c) 2017.","<p>No ministerial directions were issued to my department in the years 2015, 2016 or 2017.</p>","Trickett, Jon","Labour","Hemsworth","Wright, Jeremy",2018-01-15,2018-01-24,5,"issued, victim, unsuccessful"
"7",7,"122130","To ask the Attorney General, pursuant to the Answer of 10 January 2018 to Question 121288, on Forced Marriage, what the timetable is for cascading the 13 December 2017 masterclass and other training by local area forced marriage leads.","<p>On 13 December 2017, a masterclass was delivered to all CPS Areas to address the unique difficulties in prosecuting so-called ‘honour’ based violence and forced marriage. This training will be cascaded by the local Area forced marriage leads by the end of June 2018.</p>","Hendrick, Sir Mark","Labour (Co-op)","Preston","Buckland, Robert",2018-01-11,2018-01-16,6,"fees, paid, 2018"
"8",8,"122183","To ask the Attorney General, when the Serious Fraud Office investigation into the G4S and Serco electronic monitoring contracts which was initiated in 2013 is due to conclude.","<p>The SFO criminal investigation into G4S and Serco electronic monitoring contracts is still ongoing. SFO cases are by their very nature complex, lengthy and resource intensive and it is not unusual for them to take a considerable time to be concluded. However, the SFO will publish information about this case on its website when it is appropriate to do so.</p>","Khan, Afzal","Labour","Manchester, Gorton","Wright, Jeremy",2018-01-11,2018-01-16,7,"contract, tender, g4s"
"9",9,"122204","To ask the Attorney General, whether his Department has a carer's policy for its employees; and what other steps his Department has taken to support employees with caring responsibilities.","<p>The Attorney General’s Office (AGO), the Crown Prosecution Service (CPS), the Government Legal Department (GLD), the Serious Fraud Office (SFO) and Her Majesty’s Crown Prosecution Service Inspectorate (HMCPSI) have no specific carer’s policy, but operate a number of policies that support employees with caring responsibilities, including flexible working, and opportunities for special leave and career breaks.</p><p>In addition, and as part of encouraging diversity and inclusion within the organisation, GLD has set up a staff carers network that raises awareness of caring related issues across the Department and provides an additional source of support to those staff in the network. In the future, GLD, the AGO and HMCPSI will look to adopt the carers’ charter currently being developed by Civil Service Employee Policy, and introduce the carer’s passport so that people moving around the organisation for developmental or career reasons will be able to discuss and manage their situation with their new management in a more open and consistent manner.</p><p>CPS offer advice and guidance from their ‘Employee Assistance’ providers and a member of the SFO’s senior management team has been appointed as a Flexible Working Champion to ensure that all staff are fully supported in any personal commitments, such as caring responsibilities and is establishing a group to help promote and embed the ideals of flexible working within the SFO.</p>","Field, Frank","Labour","Birkenhead","Buckland, Robert",2018-01-11,2018-01-25,8,"support, community, victim"
"10",10,"HL4533","To ask Her Majesty's Government what assessment they have made of the use by the CPS of the phrase “insufficient evidence for a realistic prospect of conviction” in cases where there is no evidence at all against the accused; and what guidance they have given, or intend to give, to the CPS in respect of such use.","<p>The Code for Crown Prosecutors (the Code) sets out the general principles Crown prosecutors must follow when they make decisions on cases.</p><p>The full Code test has two stages. Crown prosecutors must be satisfied that there is sufficient evidence to provide a realistic prospect of conviction against each suspect or defendant on each charge. If the case does pass the evidential stage, Crown prosecutors must proceed to the second stage and decide if a prosecution is needed in the public interest.</p><p>The Crown Prosecution Service has adopted the wording recommended in the 2016 report of Sir Richard Henriques for public announcements of decisions not to charge an individual, namely that “the case failed to meet the evidential test”. That terminology is not a comment on the strength or weakness of the evidence in any particular case.</p><p>The test applied by prosecutors continues to be that set out in the Code.</p>","Lord Blencathra","Not found",NA,"Lord Keen of Elie",2018-01-09,2018-01-16,9,"convicted, reasons, rape"
