Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Onwurah, Chi","To ask the right hon. Member for Banbury, representing the Church Commissioners, what estimate he has made of the savings to the Church Commissioners from the Q&A system in the (a) 12 months and (b) five years since 4 June 2014; what additional ICT systems or improvements to existing systems the Church Commissioners have introduced or plan to introduce that would not have been feasible without the Q&A system; and what assessment he has made of the extent to which the system has made it easier to answer questions from hon. Members on time.",218773,Newcastle upon Tyne Central,2014-12-15,"<p>For an organisation that thinks in the eternal, any time saving is transitory.</p><p> </p>","Baldry, Sir Tony",2014-12-17,Labour
"Walker, Robin","To ask the right hon. Member for Banbury, representing the Church Commissioners, what grants the Church Commissioners have given to churches in (a) Worcester and (b) Worcestershire from the church roof repair fund in the last four years.",218801,Worcester,2014-12-15,"<p>The Church Commissioners are grateful to the Treasury for making the First World War Centenary Cathedral Repairs Fund available to its Cathedrals alongside extending the Listed Places of Worship Grant Scheme to include repairs to church roofs and rain water guttering.</p><p>(a) The Cathedral at Worcester has received a total of £330,000 toward to costs of restoring its east window and to replace and weather-proof the ceiling &amp; roof of the cathedral’s ancient library. The Cathedral successfully entered the bids for funding in rounds 1 and 2 of the First World War Centenary Cathedral Repairs Fund which has so far assisted 32 of the Church of England’s Cathedrals. There is one final round to which Cathedrals both Anglican and Catholic can enter bids before the fund closes, the Church Commissioners hope the last few Cathedrals with substantial works pending who are yet to submit a bid will consider putting applications forward.</p><p>(b) The fund which the Chancellor has made available within the Listed Places of Worship Roof Repair Fund has only been available since the 2014 Autumn Statement, no funding or grants for roof repairs have be available centrally prior to this. The Roof Repair Fund is not administered by the Church of England but by the National Heritage Memorial Fund, who will make decisions on grants given. <br> <br>The Church of England has advised all Diocesan Advisory Commissions (who assist Parishes with advice on repairs and alterations to architecture and fabric of buildings) to encourage and assist with applications to the fund which closes on the 30<sup>th</sup> January 2015. From the Diocese of Worcester the Church of England understands 24 parish churches will apply, 7 parishes are currently on the English Heritage, ‘Heritage at Risk Register’ with a further 17 parishes in urgent need. These figures is based on initial responses, rather than formal expressions of interest. Not all parishes will be successful in their bids for assistance and each case will be judged on its merits. This fund like the WW1 Cathedrals Fund will enable the parishes to invest money into their wider community helping those in greatest need rather than spending money just keeping the building watertight. <br></p><p> </p><p> </p>","Baldry, Sir Tony",2014-12-17,Conservative
"Murray, Ian","To ask the right hon. Member for Banbury, representing the Church Commissioners, how much the Commissioners have spent on the Employment Tribunal action by the Reverend Mark Sharpe against the Bishop of Worcester and the Worcester Diocesan Board of Finance.",221769,Edinburgh South,2015-01-22,"<p><strong><em>Owing to ongoing legal proceedings, the Church Commissioners are unable to comment on this case at present.</em></strong></p><p> </p>","Baldry, Sir Tony",2015-01-27,Labour
"George, Andrew","To ask the right hon. Member for Banbury, representing the Church Commissioners, what powers parochial church councils possess to convey (a) capital, (b) property and (c) other assets to a local community organisation or charity they are (i) seeking to assist and (ii) whose objections or plan they support.",222327,St Ives,2015-01-27,"<p>A Parochial Church Council is a statutory corporation established for the purpose, among other more specific functions, of &quot;co-operating with the minster in promoting in the parish the whole mission of the Church, pastoral, evangelistic, social and ecumenical”. The Parochial Church Council may properly convey money or property to another charity or community organisation if it considers that doing so would further this charitable purpose. A transfer of land would require the consent of the diocesan authority. No consent is required for a transfer of money or other property.</p><p> </p>","Baldry, Sir Tony",2015-01-30,Liberal Democrat
"George, Andrew","To ask the right hon. Member for Banbury, representing the Church Commissioners, how many and which parochial church councils (a) have and (b) have not registered their entitlement to the benefit of recovery of channel repair liability.",222328,St Ives,2015-01-27,<p>Each Parochial Church Council is an independent charity and it is for them to individually determine whether or not to register chancel repair liabilities in accordance with their responsibilities set out by the Charity Commission. No central register is kept.</p><p> </p>,"Baldry, Sir Tony",2015-01-30,Liberal Democrat
"George, Andrew","To ask the right hon. Member for Banbury, representing the Church Commissioners, how many court cases have been brought by parochial church councils to recover channel repair liability since the Aston Cantlow judgement by the House of Lords in 2003.",222329,St Ives,2015-01-27,<p>The Church Commissioners are not aware of any litigation by Parochial Church Councils relating to chancel repair liability since the Aston Cantlow case.</p><p> </p>,"Baldry, Sir Tony",2015-01-30,Liberal Democrat
"Onwurah, Chi","To ask the right hon. Member for Banbury, representing the Church Commissioners, what discussions the Commissioners have had with Church of England bishops on the laying on of hands during the consecration of (a) female and (b) male bishops; and if he will make a statement.",222446,Newcastle upon Tyne Central,2015-01-28,<p><strong>The Archbishop of Canterbury and the Archbishop of York have always had the power to delegate to another bishop their role as chief consecrator. The five guiding principles of the House of Bishops’ declaration which underpinned General Synod’s agreement to women bishops clearly provided a framework to make it possible for arrangements to develop for the Church of England to maintain the highest possible degree of communion and contribute to mutual flourishing across all the diverse traditions that exist. Paragraph 30 of the House of Bishops’ declaration gave a very clear commitment to continuing the supply of traditionalist Catholic Bishops and Headship Evangelical Bishops.</strong></p>,"Baldry, Sir Tony",2015-02-02,Labour
"George, Andrew","To ask the right hon. Member for Banbury, representing the Church Commissioners, pursuant to the Answer of 30 January 2015 to Question 222329, how many (a) successful and (b) unsuccessful claims have been made by parochial church councils in court against lay rectors for recovery of chancel repair liability from 1 January 1985; and what amount was recovered.",223121,St Ives,2015-02-03,"<p>I refer to the answer I gave to <a href=""http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2015-01-27/222328/"" target=""_blank"">Written Question 222328</a>. Each Parochial Church Council is an independent legal entity and no central record is kept relating to the number of claims made against lay rectors for the recovery of chancel repair liability as this is dealt with at a local parish level. The Church Commissioners are only aware of the case where the Parochial Church Council of Aston Cantlow and Wilmcote with Billesley was awarded £187,000 plus VAT.</p><p> </p>","Baldry, Sir Tony",2015-02-09,Liberal Democrat
"Gray, James","To ask the right hon. Member for Banbury, representing the Church Commissioners, how many applications have been received by the Commissioners for funding from the Listed Places of Worship Roof Repair fund; when the Commissioners will determine which of those applications have been successful; and what assessment the Commissioners have made of the proportion of those applications likely to be wholly or partly successful.",226202,North Wiltshire,2015-03-03,"<p>The Listed Places of Worship Roof Repair Scheme is not administered by the Church Commissioners but by the National Heritage Memorial Fund.</p><p /> <p>The Church Commissioners understand that despite the very short window for applications, a very substantial number have been submitted. This amply illustrates the need for such a scheme.</p><p /> <p>All decisions regarding successful bids should be completed by the National Heritage Memorial Fund by the end of March.</p><p> </p><p> </p>","Baldry, Sir Tony",2015-03-06,Conservative
"McIntosh, Anne","To ask the right hon. Member for Banbury, representing the Church Commissioners, what criteria the Commissioners will use in their decision on releasing additional funds to support Church mission and ministry; and if he will make a statement.",227726,Thirsk and Malton,2015-03-16,"<p>Last month, General Synod supported the idea of the Church Commissioners “giving consideration to the basis on which they might, for a limited period, release additional funds in order to support changes that will equip the Church of England more effectively for sustainable mission and ministry over the coming generations”.</p><p>The Commissioners’ own Board of Governors has also expressed its preparedness, following extensive consultation, to release additional time limited funds provided this could be done in an effective and disciplined manner. Robust processes are already in place to govern the distribution of existing discretionary funding streams and the same will be true of any additional funding.</p><p>The specific funding criteria have not yet been worked out but I can assure my hon. Friend that any additional money will only be released for focused, evidence-based projects which are rooted in dioceses’ strategies and will be advised by carefully worked through calculations by external actuaries as to the impact on the Commissioners’ ability to make distributions to the Church in perpetuity.</p>","Baldry, Sir Tony",2015-03-19,Not found
