Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Hendrick, Mark","To ask the Chancellor of the Duchy of Lancaster, how much has been donated by the Duchy of Lancaster Benevolent Fund in each of the last five years and in 2016; how much of that was donated to organisations and projects in Lancashire during each such year; and what use was made of those donations.",50664,Preston,2016-10-27,"<p>The donations by the Benevolent Fund in each of the last five years are set out in the table below:</p><table><tbody><tr><td><p><strong>Year</strong></p></td><td><p><strong>Total Amount</strong></p></td></tr><tr><td><p><strong>2015/16*</strong></p></td><td><p>£401,639</p></td></tr><tr><td><p><strong>2014/15</strong></p></td><td><p>£543,331</p></td></tr><tr><td><p><strong>2013/14</strong></p></td><td><p>£388,315</p></td></tr><tr><td><p><strong>2012/12</strong></p></td><td><p>£370,611</p></td></tr><tr><td><p><strong>2011/12</strong></p></td><td><p>£354,530</p></td></tr></tbody></table><p> </p><p>The annual donations to organisations and projects in Lancashire are set out in the table below:</p><table><tbody><tr><td><p><strong>Year</strong></p></td><td><p><strong>Donations received by panel</strong></p></td><td><p><strong>Grants made by the panel</strong></p></td></tr><tr><td><p><strong>2015/16*</strong></p></td><td><p>£100,000</p></td><td><p>£118,714</p></td></tr><tr><td><p><strong>2014/15</strong></p></td><td><p>£100,000</p></td><td><p>£98,015</p></td></tr><tr><td><p><strong>2013/14</strong></p></td><td><p>£105,000</p></td><td><p>£92,706</p></td></tr><tr><td><p><strong>2012/12</strong></p></td><td><p>£90,000</p></td><td><p>£95,538</p></td></tr><tr><td><p><strong>2011/12</strong></p></td><td><p>£90,000</p></td><td><p>£109,525</p></td></tr></tbody></table><p>Where grants are higher than donations received in a calendar year, this is accounted for by previous years’ unspent income being carried forward to the following year.</p><p> </p><p>A considerable number of charities benefit from the fund, a full list will be provided by my private office.</p><p> </p><p>Please note that the answer to this question is late on account of an administrative error in the Table Office.</p><p>*as of 31<sup>st</sup> March 2016</p>","McLoughlin, Sir Patrick",2017-02-24,Not found
"Trickett, Jon","To ask the Chancellor of the Duchy of Lancaster, what the (a) level of earnings is of the (i) highest and (ii) lowest-paid employee and (b) median earnings are of employees of his Department.",62073,Hemsworth,2017-01-27,<p>I refer the Hon. Member to the answer given by My Rt. Hon. Friend the Minister for the Cabinet office on 2 February 2017 to PQ62060.</p><p>Please note that the answer to this question is late on account of an administrative error in the Table Office.</p>,"McLoughlin, Sir Patrick",2017-02-24,Labour
"Trickett, Jon","To ask the Chancellor of the Duchy of Lancaster, what the (a) ethnicity, (b) gender, (c) disability status, (d) educational background and (e) socio-economic status is of the three most senior officials of his Department.",62900,Hemsworth,2017-02-02,<p>I refer the Hon. Member to the answer given by My Rt. Hon. Friend the Minister for the Cabinet office on 8 February 2017 to PQ62876.</p><p>Please note that the answer to this question is late on account of an administrative error in the Table Office.</p>,"McLoughlin, Sir Patrick",2017-02-24,Labour
"Trickett, Jon","To ask the Chancellor of the Duchy of Lancaster, what the total pay bill for (a) male and (b) female employees in his Department was in 2015-16; and what the per capita spend from that pay bill for each man and woman was in that year.",63088,Hemsworth,2017-02-03,<p>I refer the Hon. Member to the answer given by My Rt. Hon. Friend the Minister for the Cabinet office on 2 February 2017 to PQ63064.</p><p>Please note that the answer to this question is late on account of an administrative error in the Table Office.</p>,"McLoughlin, Sir Patrick",2017-02-24,Labour
"Trickett, Jon","To ask the Chancellor of the Duchy of Lancaster, how many security passes into his Department are issued to people (a) not directly employed by and (b) who are not civil servants who work in his Department.",63293,Hemsworth,2017-02-06,"<p>I refer the Hon. Member to the answer given by My Rt. Hon. Friend the Minister for the Cabinet office on 14 February 2017 to PQ<a href=""http://www.parliament.uk/business/publications/written-questions-answers-statements/written-question/Commons/2017-02-06/63256/"" target=""_blank"">63256</a>.</p><p>Please note that the answer to this question is late on account of an administrative error in the Table Office.</p>","McLoughlin, Sir Patrick",2017-02-24,Labour
"Trickett, Jon","To ask the Chancellor of the Duchy of Lancaster, what proportion of Civil Service positions in his Department was vacant for a week or longer in each year since 2010; and what the average turnover rate for civil servants in his Department has been in each year since 2010.",66685,Hemsworth,2017-03-06,<p>I refer the Hon. Member to the answer given by My Rt. Hon. Friend the Minister for the Cabinet office on 16 March 2017 to PQ66684.</p>,"McLoughlin, Sir Patrick",2017-03-20,Labour
"Gwynne, Andrew","To ask the Chancellor of the Duchy of Lancaster, what the average response rate was of his Department to individual Freedom of Information requests in each month since July 2016.",68037,Denton and Reddish,2017-03-15,<p>I refer the Hon. Member to the answer given by Hon. Friend the Minister for the Constitution on 21 March 2017 to PQ68036.</p>,"McLoughlin, Sir Patrick",2017-03-24,Labour
"West, Catherine","To ask the Chancellor of the Duchy of Lancaster, what discussions he has had with the Duchy Council on the Queen's private estate being invested in a fund based in the Cayman Islands.",111857,Hornsey and Wood Green,2017-11-07,<p>As part of my role as Chancellor of the Duchy of Lancaster I meet with the Duchy Council who update me on issues on Duchy affairs.</p>,"McLoughlin, Sir Patrick",2017-11-16,Labour
"West, Catherine","To ask the Chancellor of the Duchy of Lancaster, what discussions he has had with the (a) Prime Minister and (b) Chancellor of the Exchequer on the Queen's private estate being invested in a fund based in the Cayman Islands.",111858,Hornsey and Wood Green,2017-11-07,<p>No discussions have been held with the Prime Minister or the Chancellor of the Exchequer on the Queen's private estates as these investments were made between 2002 and 2005.</p>,"McLoughlin, Sir Patrick",2017-11-16,Labour
"West, Catherine","To ask the Chancellor of the Duchy of Lancaster, what information his Department holds on funds from the Queen's private estate being invested in a fund based in the Cayman Islands.",111859,Hornsey and Wood Green,2017-11-07,"<p>Financial records are held by the Duchy of Lancaster. Details of the finances of the Duchy of Lancaster are published annually in a formal report. These are available on the Duchy of Lancaster website: <a href=""https://www.duchyoflancaster.co.uk/financial/accounts-annual-reports-and-investments/"" target=""_blank"">https://www.duchyoflancaster.co.uk/financial/accounts-annual-reports-and-investments/</a></p>","McLoughlin, Sir Patrick",2017-11-16,Labour
