Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
Lord Trefgarne,"To ask Her Majesty’s Government how many Ministers are presently unpaid (1) in the House of Lords, and (2) in the House of Commons.",HL2235,NA,2014-10-21,"<p>I refer my noble friend to the answer I gave to Lord Jopling on 26 September, <em>Official Report</em>, Column WA399 and WA400. For reference, as of November 2014, there are three Ministers who are members of the House of Commons and ten Ministers who are members of the House of Lords who are not in receipt of a ministerial salary.</p><p> </p>",Lord Wallace of Saltaire,2014-11-04,Not found
"McClymont, Gregg","To ask the Minister for the Cabinet Office, what assessment he has made of the potential risk of losses to the public purse arising from applying the current accounting officer conventions in the period leading up to the referendum on Scottish independence in 2014.",154017,"Cumbernauld, Kilsyth and Kirkintilloch East",2013-05-08,"<p>I have been asked to reply on behalf of the Treasury.</p><p>The UK Government is not planning for independence as it believes that people in Scotland will vote to remain within the UK. As such, the Government has made no assessment of the risk of losses to the public purse, and has no plans to change accounting officers conventions</p>","Alexander, Danny",2014-02-25,Labour
"McClymont, Gregg","To ask the Minister for the Cabinet Office, what discussions he has had with officials in his Department on how the accounting officers' conventions would apply to investment in Scotland in advance of the referendum on Scottish independence in 2014.",154018,"Cumbernauld, Kilsyth and Kirkintilloch East",2013-05-08,"<p>I have been asked to reply on behalf of the Treasury.</p><p>The UK Government is not planning for independence as it believes that people in Scotland will vote to remain within the UK. As such, the Government has made no assessment of the risk of losses to the public purse, and has no plans to change accounting officers conventions</p>","Alexander, Danny",2014-02-25,Labour
"Timms, Stephen","To ask the Minister for the Cabinet Office, what the status is of Sir Jeremy Heywood's review of provision for 16 to 24 year olds.",211402,East Ham,2014-10-21,<p>The 16-24 review concluded earlier this year and its findings continue to inform ongoing government policy development.</p><p> </p>,"Maude, Francis",2014-10-24,Labour
"Morden, Jessica","To ask the Minister for the Cabinet Office, what recent estimate he has made of the number of people in (a) Wales and (b) Newport East constituency earning the minimum wage.",211291,Newport East,2014-10-21,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-24,Labour
"Roy, Frank","To ask the Minister for the Cabinet Office, how many and what proportion of the working age population of Motherwell and Wishaw constituency are in receipt of jobseeker's allowance.",211263,Motherwell and Wishaw,2014-10-21,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-24,Labour
"Roy, Frank","To ask the Minister for the Cabinet Office, what recent estimate he has made of the number of workless households in Motherwell and Wishaw constituency.",211265,Motherwell and Wishaw,2014-10-21,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-24,Labour
"Morden, Jessica","To ask the Minister for the Cabinet Office, what recent estimate he has made of the number of people earning below the living wage in (a) Wales and (b) Newport East constituency.",211399,Newport East,2014-10-21,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p><p> </p>,"Wilson, Rob",2014-10-24,Labour
"Stephenson, Andrew","To ask the Minister for the Cabinet Office, how many small and medium-sized enterprises have premises in (a) Pendle, (b) Lancashire and (c) the North West.",211557,Pendle,2014-10-22,<p>The information requested falls within the responsibility of the UK Statistics Authority. I have asked the Authority to reply.</p>,"Wilson, Rob",2014-10-27,Conservative
"Evans, Chris","To ask the Minister for the Cabinet Office, what progress his Department has made in tackling copycat websites which charge extra for government services.",211552,Islwyn,2014-10-22,<p>My Rt Hon Friend the Minister of State for Culture and the Digital Economy updated the House on the work the government is undertaking to address the issue of misleading websites during a Westminster Hall Debate on 28 October 2014.</p><p> </p>,"Maude, Francis",2014-10-29,Labour (Co-op)
