"","member","word","freq"
"1","Abbott, Diane","east",0.422379365695104
"2","Abbott, Diane","trust",0.401292360245301
"3","Abbott, Diane","survival",0.390260280275419
"4","Abbott, Diane","rochford",0.388799905916437
"5","Abbott, Diane","southend",0.388799905916437
"6","Abbott, Diane","nhs",0.380810047711608
"7","Abbott, Diane","hospitals",0.349771491339709
"8","Abbott, Diane","foundation",0.324855368285787
"9","Abbott, Diane","fully",0.283159991442679
"10","Abbott, Diane","cancer",0.27278645497595
"11","Abbott, Diane","beneficial",0.267723038251411
"12","Abbott, Diane","london",0.261032630426457
"13","Abrahams, Debbie","twice",0.527202070351222
"14","Abrahams, Debbie","primary",0.448677134423485
"15","Abrahams, Debbie","breast",0.417096485889552
"16","Abrahams, Debbie","collected",0.362621400026914
"17","Abrahams, Debbie","cancer",0.295247098169482
"18","Abrahams, Debbie","data",0.257265077181517
"19","Abrahams, Debbie","number",0.193875873434194
"20","Abrahams, Debbie","people",0.154716277910273
"21","Abrahams, Debbie","cabinet",0.0145790099596356
"22","Abrahams, Debbie","office",0.0137604639321482
"23","Abrahams, Debbie","depart",0
"24","Abrahams, Debbie","fashion",0
"25","Adams, Nigel","cervical",0.596083549342935
"26","Adams, Nigel","diagnosed",0.418414857753252
"27","Adams, Nigel","cancer",0.37714696797303
"28","Adams, Nigel","25",0.372523010514617
"29","Adams, Nigel","women",0.324540043667269
"30","Adams, Nigel","five",0.249982274062591
"31","Adams, Nigel","years",0.141869699141673
"32","Adams, Nigel","cabinet",0.0186231446013023
"33","Adams, Nigel","office",0.0175775385502108
"34","Adams, Nigel","data",0
"35","Adams, Nigel","depart",0
"36","Adams, Nigel","fashion",0
"37","Afriyie, Adam","2010",1.04380259415606
"38","Afriyie, Adam","windsor",0.888385915281613
"39","Afriyie, Adam","uk",0.865374309626868
"40","Afriyie, Adam","will",0.842482892426937
"41","Afriyie, Adam","13",0.797780854829725
"42","Afriyie, Adam","2011",0.770942611431121
"43","Afriyie, Adam","11",0.751966037298464
"44","Afriyie, Adam","data",0.747239667516079
"45","Afriyie, Adam","estimate",0.717369121339853
"46","Afriyie, Adam","2012",0.687843720568524
"47","Afriyie, Adam","technologies",0.68776967120474
"48","Afriyie, Adam","census",0.675967947977563
"49","Ahmed-Sheikh, Tasmina","ochil",0.597938882140971
"50","Ahmed-Sheikh, Tasmina","perthshire",0.597938882140971
"51","Ahmed-Sheikh, Tasmina","gap",0.429981909554106
"52","Ahmed-Sheikh, Tasmina","trends",0.418915704995923
"53","Ahmed-Sheikh, Tasmina","extent",0.38327737929841
"54","Ahmed-Sheikh, Tasmina","gender",0.353136814594342
"55","Ahmed-Sheikh, Tasmina","investment",0.341280007887436
"56","Ahmed-Sheikh, Tasmina","scotland",0.296534855751388
"57","Ahmed-Sheikh, Tasmina","south",0.288754171835992
"58","Ahmed-Sheikh, Tasmina","pay",0.286948873338739
"59","Ahmed-Sheikh, Tasmina","made",0.267816303564365
"60","Ahmed-Sheikh, Tasmina","sector",0.259491627474464
"61","Ainsworth, Bob","coventry",0.778398387444809
"62","Ainsworth, Bob","midlands",0.727261313205535
"63","Ainsworth, Bob","west",0.550337833555735
"64","Ainsworth, Bob","north",0.494466494077305
"65","Ainsworth, Bob","east",0.475976930873051
"66","Ainsworth, Bob","premises",0.37073398226859
"67","Ainsworth, Bob","median",0.341911901278624
"68","Ainsworth, Bob","constituency",0.315706551799156
"69","Ainsworth, Bob","gross",0.307778641666009
"70","Ainsworth, Bob","medium",0.301547245851615
"71","Ainsworth, Bob","enterprises",0.29730670192854
"72","Ainsworth, Bob","weekly",0.29435799186359
"73","Aldous, Peter","enterprises",0.546512973524002
"74","Aldous, Peter","social",0.486646728364827
"75","Aldous, Peter","supporting",0.456107206522741
"76","Aldous, Peter","progress",0.453789844874342
"77","Aldous, Peter","made",0.222352867882319
"78","Aldous, Peter","cabinet",0.0241054348826779
"79","Aldous, Peter","office",0.0227520228184362
"80","Aldous, Peter","data",0
"81","Aldous, Peter","depart",0
"82","Aldous, Peter","fashion",0
"83","Aldous, Peter","meet",0
"84","Aldous, Peter","oblig",0
"85","Alexander, Heidi","land",0.468943808486209
"86","Alexander, Heidi","homes",0.417052374547671
"87","Alexander, Heidi","building",0.390352083751943
"88","Alexander, Heidi","224",0.3787079252165
"89","Alexander, Heidi","glamorgan",0.3787079252165
"90","Alexander, Heidi","purpose",0.372192676035696
"91","Alexander, Heidi","released",0.360477224741337
"92","Alexander, Heidi","twice",0.329613175841471
"93","Alexander, Heidi","vale",0.298637837716632
"94","Alexander, Heidi","new",0.286838112920054
"95","Alexander, Heidi","facility",0.260773819144495
"96","Alexander, Heidi","may",0.249695557722438
"97","Ali, Rushanara","youth",1.42762092183758
"98","Ali, Rushanara","aged",1.3229882092915
"99","Ali, Rushanara","24",1.28903890980829
"100","Ali, Rushanara","unemployed",1.21727660270452
"101","Ali, Rushanara","people",1.21139952157511
"102","Ali, Rushanara","16",1.00324734582638
"103","Ali, Rushanara","young",0.999120881964211
"104","Ali, Rushanara","18",0.964276936988105
"105","Ali, Rushanara","made",0.946171089041787
"106","Ali, Rushanara","proportion",0.849221000647332
"107","Ali, Rushanara","jobseekers",0.758189084328704
"108","Ali, Rushanara","authorities",0.754710536737233
"109","Allen, Graham","voter",1.08817916321386
"110","Allen, Graham","attainers",0.747901584632448
"111","Allen, Graham","weather",0.720592435620974
"112","Allen, Graham","turnout",0.624516890646095
"113","Allen, Graham","successful",0.603526432128109
"114","Allen, Graham","initiative",0.57155136212758
"115","Allen, Graham","conditions",0.53030343767548
"116","Allen, Graham","schools",0.529163408606449
"117","Allen, Graham","2017",0.491374552209347
"118","Allen, Graham","add",0.491312681181372
"119","Allen, Graham","young",0.490966793859547
"120","Allen, Graham","confirm",0.47584567188244
"121","Allen, Heidi","everyone",0.513471724359783
"122","Allen, Heidi","devolution",0.497307126457863
"123","Allen, Heidi","settlements",0.44019099597578
"124","Allen, Heidi","adversely",0.438303544800712
"125","Allen, Heidi","without",0.396743680142006
"126","Allen, Heidi","deliver",0.36454702435835
"127","Allen, Heidi","affected",0.35284162173744
"128","Allen, Heidi","technology",0.350208496875019
"129","Allen, Heidi","account",0.343137267797106
"130","Allen, Heidi","leaving",0.323602743483688
"131","Allen, Heidi","access",0.292956371682287
"132","Allen, Heidi","increased",0.274752238097841
"133","Amess, Sir David","iraq",4.24784058655448
"134","Amess, Sir David","inquiries",3.82709341596195
"135","Amess, Sir David","will",1.73244170368181
"136","Amess, Sir David","establishment",1.66488810805566
"137","Amess, Sir David","grade",1.33875215083675
"138","Amess, Sir David","duration",1.00542828370883
"139","Amess, Sir David","purse",0.853436631969366
"140","Amess, Sir David","cost",0.82604202631393
"141","Amess, Sir David","employed",0.791685162936191
"142","Amess, Sir David","public",0.743093912577787
"143","Amess, Sir David","year",0.703224348050218
"144","Amess, Sir David","spent",0.646756775096709
"145","Anderson, David","regulation",1.20380659144181
"146","Anderson, David","2015",1.09083772658546
"147","Anderson, David","residential",1.01227088027386
"148","Anderson, David","qualifications",0.932351752679601
"149","Anderson, David","personnel",0.867803436577955
"150","Anderson, David","contract",0.812773098364131
"151","Anderson, David","weeks",0.798219785614173
"152","Anderson, David","children",0.788787584089676
"153","Anderson, David","public",0.73746118668614
"154","Anderson, David","shrewsbury",0.693115624912805
"155","Anderson, David","321",0.68131948055928
"156","Anderson, David","procurement",0.642901358670745
"157","Andrew, Stuart","1106",0.410092551009583
"158","Andrew, Stuart","libor",0.410092551009583
"159","Andrew, Stuart","fines",0.37655019664048
"160","Andrew, Stuart","autumn",0.294055069741571
"161","Andrew, Stuart","police",0.239447069548719
"162","Andrew, Stuart","criteria",0.229221529144048
"163","Andrew, Stuart","december",0.206621637748662
"164","Andrew, Stuart","organisations",0.184422258955486
"165","Andrew, Stuart","charities",0.181757839897668
"166","Andrew, Stuart","related",0.172362360810513
"167","Andrew, Stuart","receive",0.169933609394177
"168","Andrew, Stuart","2013",0.163896701196763
"169","Antoniazzi, Tonia","gower",1.29476260689086
"170","Antoniazzi, Tonia","constituency",0.416520668761073
"171","Antoniazzi, Tonia","census",0.352692606906621
