"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"1",1,"9823","To ask the Minister for the Cabinet Office, what steps his Department is taking to ensure that Government departments meet their obligations to publish transparency data in a timely fashion.","<p>The UK Government is among the most transparent in the world and each Department is responsible for publishing a range of data on its activities. We will be working with departments over the coming months to improve the publication process to ensure we continue to meet our obligations in this important area.</p>","Cunningham, Jim","Labour","Coventry South","Nokes, Caroline",2017-09-11,2017-09-19,1,"fashion, obligations, data"
"2",2,"9842","To ask the Minister for the Cabinet Office, with reference to the National Cyber Security Strategy, if he will list spending on each project supported by the Cyber Investment Fund.","<p>The Government has allocated £10 million to establish a Cyber Innovation Fund which will support the UK’s national security requirements by providing innovative start-ups with financial and procurement support. This investment forms part of a suite of innovation initiatives within the National Cyber Security Strategy that will develop the cyber security sector and support the UK’s national security requirements in cyber. The mechanism to deliver funding is currently under evaluation in consultation with industry partners.</p>","Thomas-Symonds, Nick","Labour","Torfaen","Nokes, Caroline",2017-09-11,2017-09-19,2,"strategy, secure, cyber"
"3",3,"9844","To ask the Minister for the Cabinet Office, when the security ratings for new products set out in paragraph 5.2.6 of the National Cyber Security Strategy were implemented.","<p>The Department for Digital, Culture, Media and Sport is considering the need for the right incentives to be in place to build security into internet-connected products and services. The National Cyber Security Centre website provides clear information to consumers directly and via its website, for example on the use of password managers.</p>","Thomas-Symonds, Nick","Labour","Torfaen","Nokes, Caroline",2017-09-11,2017-09-19,2,"strategy, secure, cyber"
"4",4,"9725","To ask the Minister for the Cabinet Office, how many publications routinely issued by each Department have had their release date delayed or pushed back since January 2017.","<p>This information is not recorded centrally.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-11,2017-09-19,3,"routinely, email, acknowledge"
"5",5,"9743","To ask the Minister for the Cabinet Office, what information his Department holds on likelihood to vote based on distance from polling station for each socio-economic group.","<p><strong>We do not hold any information of the type described.</strong></p>","Ruane, Chris","Labour","Vale of Clwyd","Skidmore, Chris",2017-09-11,2017-09-19,4,"station, polling, vote"
"6",6,"9801","To ask the Minister for the Cabinet Office, what guidance his Department has given to the Behavioural Insights Team on policy on potential conflict of interest between its clients and Government Departments.","<p>I refer the Hon. Member to the reply I gave him on Thursday 14<sup>th</sup> September 2017, to PQ9181.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-11,2017-09-19,5,"insights, behavioural, team"
"7",7,"9802","To ask the Minister for the Cabinet Office, when his Department was informed that the Behavoural Insights Team would open an office in Singapore; whether his Department was aware of the plan to open that office before the team was privatised; and whether that team plans to operate new offices in any other jurisdiction.","<p>I refer the Hon. Member to the reply I gave him on Thursday 14<sup>th</sup> September 2017, to PQ9181.</p>","Trickett, Jon","Labour","Hemsworth","Nokes, Caroline",2017-09-11,2017-09-19,5,"insights, behavioural, team"
"8",8,"9803","To ask the Minister for the Cabinet Office, what steps he has taken to improve the quality and timeliness of his Department's responses to Freedom of Information requests.","<p>Last year, the Cabinet Office responded to 94% of requests in time. This was 3% above the average timeliness of other monitored bodies. In the first quarter of this year Cabinet Office answered 96% of requests in time. The Cabinet Office receives requests for some of the most sensitive information in Government, and must consider the public interest carefully when considering whether it is appropriate to release information in response to those requests.</p>","Trickett, Jon","Labour","Hemsworth","Skidmore, Chris",2017-09-11,2017-09-19,6,"freedom, requested, information"
"9",9,"9867","To ask the Minister for the Cabinet Office, how many suppliers have adopted the cyber security standards set out in paragraph 5.3.11 of the National Cyber Security Strategy.","<p>On 1 October 2014, Government required all suppliers bidding for specified sensitive and personal information handling contracts to be certified against the Cyber Essentials scheme. Cyber Essentials is a government-backed scheme to help organisations protect themselves against common cyber attacks whilst demonstrating their compliance with appropriate cyber security standards.</p><p>As of August 2017 there have been 7,907 Cyber Essentials certificates issued to UK businesses. We do not specifically track the number of certified government suppliers.</p>","Thomas-Symonds, Nick","Labour","Torfaen","Nokes, Caroline",2017-09-11,2017-09-19,2,"strategy, secure, cyber"
"10",10,"9980","To ask the Minister for the Cabinet Office, pursuant to the Answer of 11 September 2017 to Question 9289, on iron and steel: procurement, what progress each Government department is making in delivering greater UK steel content in line with the Government's new public procurement guidelines published in April 2016.","<p>This information is not held centrally.</p><p>All public authorities are required to implement government guidelines that set out how government buyers should source steel for major projects so that the true value of UK steel is taken into account in major procurement decisions.</p>","Dakin, Nic","Labour","Scunthorpe","Nokes, Caroline",2017-09-11,2017-09-14,7,"steel, procured, british"
