Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Benn, Hilary","To ask the Secretary of State for Communities and Local Government, when he expects to answer Question 207630, tabled on 1 September 2014 by the right hon. Member for Leeds Central.",211289,Leeds Central,2014-10-21,<p>Questions 207630 and 207599 were answered on 30 October.</p>,"Lewis, Brandon",2014-11-11,Labour
"Benn, Hilary","To ask the Secretary of State for Communities and Local Government, when he expects to answer Question 207599, tabled on 1 September 2014 by the right hon. Member for Leeds Central.",211290,Leeds Central,2014-10-21,<p>Questions 207630 and 207599 were answered on 30 October.</p>,"Lewis, Brandon",2014-11-11,Labour
"Benn, Hilary","To ask the Secretary of State for Communities and Local Government, how many and what percentage of local planning authorities in England have (a) not published, (b) not submitted and (c) not adopted a local plan as of 21 October 2014.",211286,Leeds Central,2014-10-21,"<p>I refer the rt. hon. Member to my written answer of 9 October 2014, PQ 208138.</p>","Lewis, Brandon",2014-10-28,Labour
"Benn, Hilary","To ask the Secretary of State for Communities and Local Government, when he expects to answer Question 210272, tabled on 13 October 2014 by the right hon. Member for Leeds Central.",211287,Leeds Central,2014-10-21,<p>Question 210272 was answered on 18 December 2014.</p>,"Williams, Stephen",2015-01-05,Labour
"Benn, Hilary","To ask the Secretary of State for Communities and Local Government, when he expects to answer Question 208912, tabled on 10 September 2014 by the right hon. Member for Leeds Central.",211288,Leeds Central,2014-10-21,<p>Question 208912 was answered on 18 December 2014.</p>,"Williams, Stephen",2015-01-05,Labour
"Spellar, John","To ask the Secretary of State for Communities and Local Government, when he plans to reply to the letter of 24 July 2014 from the hon. Member for Warley, on compulsory purchase orders.",211411,Warley,2014-10-22,<p>My Department takes seriously its responsibilities to respond to MP’s letters in a timely fashion. Having checked all of our databases I can find no record of the letter the rt. hon. Member for Warley refers to and I respectfully ask him to send me a copy so that I may respond.</p>,"Lewis, Brandon",2014-10-28,Labour
"Ali, Rushanara","To ask the Secretary of State for Communities and Local Government, what was spent on the Decent Homes Programme in each year since 2005.",211623,Bethnal Green and Bow,2014-10-22,"<p>The last Administration failed to meet its Decent Homes target. It pledged in 2000 that: “We... are committed to ensuring that all social housing is of a decent standard within 10 years” (DETR, <em>Quality and Choice: A Decent Home for All: The Housing Green Paper</em>, April 2000, p.11). But 16 per cent of local authority homes were not decent by 2010.</p><p>That last Government also cut the Decent Homes programme by £150 million in July 2009, cannibalising the housing programme to pay for other policies. I also observe the last Prime Minister planned to cut back housing investment, remarking before the general election: “Housing is essentially a private sector activity. Let's be honest about this... I don't see a need for us to continue with such a big renovation programme” (<em>BBC Newsnight</em>, 30 April 2010).</p><p>However, the Coalition Government is investing £2.3 billion from 2011 to 2016 to improve the quality of existing social housing through the Decent Homes programme and large-scale voluntary transfer gap funding The funding is for clearing the backlog, and therefore is less than under the last Administration – as by intention, there should be an increasingly smaller number of homes to pay to refurbish.</p><p>The table below shows spending since 2005.</p><p> </p><p> </p><table><tbody><tr><td> </td><td><p>£ million</p></td></tr><tr><td><p>2004-05</p></td><td><p>£578</p></td></tr><tr><td><p>2005-06</p></td><td><p>£864</p></td></tr><tr><td><p>2006-07</p></td><td><p>£814</p></td></tr><tr><td><p>2007-08</p></td><td><p>£1,005</p></td></tr><tr><td><p>2008-09</p></td><td><p>£1,017</p></td></tr><tr><td><p>2009-10</p></td><td><p>£1,079</p></td></tr><tr><td><p>2010-11</p></td><td><p>£756</p></td></tr><tr><td><p>2011-12</p></td><td><p>£494</p></td></tr><tr><td><p>2012-13</p></td><td><p>£563</p></td></tr><tr><td><p>2013-14</p></td><td><p>£631</p></td></tr><tr><td><p>2014-15</p></td><td><p>est. £532</p></td></tr></tbody></table><p>NB. The figure for 14-15 contains £15 million funding for South Tyneside which was brought forward from the 2015-16 allocation.</p><p>The number of non-decent local authority dwellings across England has fallen from 292,000 in 1 April 2010 to 146,000 in April 2014, with a forecast of a further fall to 113,000 by April 2015. This shows clear progress in refurbishing these homes.</p><p> </p><p> </p>","Lewis, Brandon",2015-02-23,Labour
"Ali, Rushanara","To ask the Secretary of State for Communities and Local Government, how many homes in (a) Bethnal Green and Bow constituency, (b) the borough of Tower Hamlets, (c) London and (d) England failed to meet the decent homes standard in each year since 2010.",211624,Bethnal Green and Bow,2014-10-22,"<p>I refer the Hon. Member to my written answer of 21 October 2014, PQ 206256.</p><p> </p><p>Figures are held by local authority area, not parliamentary constituency.</p><p> </p>","Lewis, Brandon",2014-10-29,Labour
"Sheerman, Barry","To ask the Secretary of State for Communities and Local Government, what estimate he has made of the number of children living with parents in women's refuges in (a) Huddersfield, (b) Kirklees, (c) Yorkshire and (d) England.",211435,Huddersfield,2014-10-22,"<p>The Statistics requested are not centrally held.<br><br></p><p>Decisions on the provision of accommodation for victims of domestic abuse are for local authorities; we expect local authorities to commission services based on the needs of their communities, taking account of locally available data sources.</p><p> </p><p>The dynamics of domestic abuse mean that accommodation can play an important role in the resolution of interpersonal abuse and conflict. This is why the homelessness legislation in England provides one of the strongest safety nets in the world for families with children and for vulnerable people who become homeless through no fault of their own.</p><p> </p><p>There is a range of support for victims of domestic abuse. Some victims will be accommodated in refuges, but Sanctuary Schemes and mainstream local authority accommodation may be an option for others, while some victims will pursue independent solutions with help and advice from support schemes as necessary.</p><p> </p><p>This Government has secured £6.5 billion investment to help vulnerable people through housing related support. This forms a key element of refuge funding through local authority commissioned services. We also fund UKRefugesOnline a UK wide database of domestic violence services which supports the national 24 hour free phone domestic violence helpline. This service enables those working with victims of domestic violence to identify appropriate services and potential refuge vacancies around the country so that victims can get the help they need as quickly as possible.</p><p> </p><p>This Government has ring-fenced nearly £40 million of funding for specialist local domestic and sexual violence support services until 2015. This funding is used to part-fund 54 multi-agency risk assessment conference co-ordinators and 144 independent domestic violence advisers. We have piloted and rolled out Clare's Law and domestic violence protection orders; extended the definition of domestic abuse to cover controlling behaviour and teenage relationships; run two successful campaigns to challenge perceptions of abuse; and placed Domestic Homicide Reviews on a statutory footing to make sure lessons are learned from individual tragedies.</p><p> </p><p>We are keeping this matter under review, and are keen to support best practice and greater joint working<em>. </em></p>","Hopkins, Kris",2014-10-28,Labour (Co-op)
"Sheerman, Barry","To ask the Secretary of State for Communities and Local Government, what steps he is taking to ensure that there are sufficient women's refuges to meet demand.",211433,Huddersfield,2014-10-22,"<p>The Statistics requested are not centrally held.<br><br></p><p>Decisions on the provision of accommodation for victims of domestic abuse are for local authorities; we expect local authorities to commission services based on the needs of their communities, taking account of locally available data sources.</p><p> </p><p>The dynamics of domestic abuse mean that accommodation can play an important role in the resolution of interpersonal abuse and conflict. This is why the homelessness legislation in England provides one of the strongest safety nets in the world for families with children and for vulnerable people who become homeless through no fault of their own.</p><p> </p><p>There is a range of support for victims of domestic abuse. Some victims will be accommodated in refuges, but Sanctuary Schemes and mainstream local authority accommodation may be an option for others, while some victims will pursue independent solutions with help and advice from support schemes as necessary.</p><p> </p><p>This Government has secured £6.5 billion investment to help vulnerable people through housing related support. This forms a key element of refuge funding through local authority commissioned services. We also fund UKRefugesOnline a UK wide database of domestic violence services which supports the national 24 hour free phone domestic violence helpline. This service enables those working with victims of domestic violence to identify appropriate services and potential refuge vacancies around the country so that victims can get the help they need as quickly as possible.</p><p> </p><p>This Government has ring-fenced nearly £40 million of funding for specialist local domestic and sexual violence support services until 2015. This funding is used to part-fund 54 multi-agency risk assessment conference co-ordinators and 144 independent domestic violence advisers. We have piloted and rolled out Clare's Law and domestic violence protection orders; extended the definition of domestic abuse to cover controlling behaviour and teenage relationships; run two successful campaigns to challenge perceptions of abuse; and placed Domestic Homicide Reviews on a statutory footing to make sure lessons are learned from individual tragedies.</p><p> </p><p>We are keeping this matter under review, and are keen to support best practice and greater joint working<em>. </em></p>","Hopkins, Kris",2014-10-28,Labour (Co-op)
