"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"1",1,"109055","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 19 October 2017 to Question 107956, on public libraries: closures, for what reasons her Department does not collect or publish data on the number of public library closures.","<p>The Department for Digital, Culture, Media and Sport does not seek to duplicate the collection of data that is collected and published by others. The Libraries Taskforce collected and published basic data about the number and locations of each public library in England as at 1 July 2016 and has worked with the libraries sector to define the data proposed for inclusion in a future core dataset for public libraries in England.</p><p> </p>","Cunningham, Jim","Labour","Coventry South","Glen, John",2017-10-23,2017-10-26,1,"2017, report, publish"
"2",2,"108990","To ask the Secretary of State for Digital, Culture, Media and Sport, pursuant to the Answer of 16 October 2017 to Question 107065, on Local government: culture, whether her Department holds records of spending by local authorities on culture and the arts; and if she will make a statement.","<p>Spending by local authorities including their spending on culture and the arts are published by the Department for Communities and Local Government.</p><p> </p><p>It is important that local authorities recognise the benefits that investment in culture and the arts can bring. Arts Council England works with over 250 local authorities to promote the impact that culture can have.</p>","Cunningham, Jim","Labour","Coventry South","Glen, John",2017-10-23,2017-10-26,2,"local, libraries, authorities"
"3",3,"108694","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions she has had with the Secretary of State for Business, Energy and Industrial Strategy on the potential benefits to the creative industries of extending shared parental leave to freelance workers.","<p>Freelancers form a vital part of the UK workforce, particularly for the creative industries. The Secretary of State and her ministers have regular discussions on a number of issues that impact the creative industries, including working practices. Self-employed people have greater flexibility over their working hours, including when they take time off work.</p>","Brennan, Kevin","Labour","Cardiff West","Hancock, Matt",2017-10-19,2017-10-24,3,"creative, eu, sector"
"4",4,"108578","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps her Department is taking to ensure the safeguarding of heritage cultural crafts in the UK.","<p>We take the protection and promotion of Heritage Crafts seriously. In March 2017 the Heritage Lottery Fund (HLF) announced that it would spend £10 million training people in heritage skills. The funding aims to train a new and more diverse generation of heritage workers in areas from traditional crafts to digital specialists to address critical shortages in the sector.</p><p> </p><p>In addition, HLF has already invested £47 million into the Skills for the Future programme, which helps organisations deliver paid training placements to meet skills shortages in the heritage sector and to help diversify the workforce, since it launched in 2009.</p>","Hodgson, Sharon","Labour","Washington and Sunderland West","Glen, John",2017-10-18,2017-10-26,4,"heritage, safeguarding, technology"
"5",5,"108467","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will estimate the total spend each year on fixed-odds betting terminals in Coventry South constituency.","<p>Neither the Department nor the Gambling Commission hold information concerning the number of Fixed-Odds Betting Terminals and, therefore spend, on Fixed-Odds Betting Terminals in individual constituencies.</p>","Cunningham, Jim","Labour","Coventry South","Crouch, Tracey",2017-10-18,2017-10-23,5,"odds, betting, terminals"
"6",6,"108457","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will respond to the Culture, Media and Sport Committee report, on Societies' Lotteries, published on 25 March 2015, HC 615, before the November 2017 Parliamentary recess.","<p>The Government’s response to the CMS Select Committee’s report on society lotteries advised that it intended to explore all the recommendations further, with advice from the Gambling Commission. The response was published in September 2015 and can be found here: https://publications.parliament.uk/pa/cm201516/cmselect/cmcumeds/415/415.pdf</p><p> </p><p>We are carefully considering the issues raised by the Select Committee and continue to take advice from the Gambling Commission as we consider policy options.</p>","Stevens, Jo","Labour","Cardiff Central","Crouch, Tracey",2017-10-18,2017-10-23,6,"societies, reform, lotteries"
"7",7,"108412","To ask the Secretary of State for Digital, Culture, Media and Sport, what steps she is taking to ensure that advertisements for junk food are not allowed to be broadcast on television before 9pm.","<p>I refer the hon member to my answer to PQ 108086.</p>","Jones, Helen","Labour","Warrington North","Hancock, Matt",2017-10-18,2017-10-23,7,"9pm, food, sugar"
"8",8,"108398","To ask the Secretary of State for Digital, Culture, Media and Sport, if she will make an assessment of the trends in the level of gambling content in video games played by children; and if she will make a statement.","<p>Protecting children and the vulnerable from being harmed or exploited by gambling is a core objective of the regulation of gambling in Great Britain, and a priority for the government.</p><p>The statutory regulator, the Gambling Commission, monitors the participation of children in gambling through a range of data sources including complaints, academic research, and the annual Young People and Gambling Survey, which in 2017 included specific questions in relation to video gaming. The results of the survey are due to be published soon. The Gambling Commission has also asked its expert advisors, the Responsible Gambling Strategy Board, to examine the wider relationship between children and gambling.</p><p>The Gambling Commission is engaging with the video games industry and with a wide variety of stakeholders, including child protection groups, to highlight the risks of gambling linked to video games to parents, consumers and the wider public. The government’s Internet Safety Strategy published on 11 October considers options for working with the online video games industry to improve video gaming safety</p><p>The government recognises the risks that come from increasing convergence between gambling and video games. The Gambling Commission is keeping this matter under review and will continue to monitor developments in the market.</p><p> </p>","Lavery, Ian","Labour","Wansbeck","Crouch, Tracey",2017-10-18,2017-10-26,8,"children, games, replicate"
"9",9,"108369","To ask the Secretary of State for Digital, Culture, Media and Sport, whether the Government is represented on the Tourism Industry Emergency Response Group.","<p>The government is represented by officials from DCMS at the Tourism Industry Emergency Response Group.</p>","Watson, Tom","Labour","West Bromwich East","Glen, John",2017-10-18,2017-10-23,9,"industry, tourism, emergency"
"10",10,"108415","To ask the Secretary of State for Digital, Culture, Media and Sport, what role her Department plays in supporting sports persons who are recovering from mental illness.","<p>Sporting Future recognises the impact that sport has on the physical and mental health of people of all ages and highlighted the importance of welfare and wellbeing in elite sport.</p><p>We have been working closely with Department of Health, mental health and sport organisations and athletes to explore how sport can improve its offer of mental health support. I recently hosted two roundtables, one for athletes co-hosted by the Minister for Care and Mental Health and the other for sports and mental health organisations to agree an action plan for future work in this area which we will develop over the coming months.</p>","Shannon, Jim","Democratic Unionist Party","Strangford","Crouch, Tracey",2017-10-18,2017-10-26,10,"ill, mental, base"
