Question_MP,Question_Text,Question_ID,MP_Constituency,Question_Date,Answer_Text,Answer_MP,Answer_Date,Party
"Watson, Tom","To ask the Secretary of State for International Trade, what assessment he has made of the Government's capability of negotiating trade agreements.",41519,West Bromwich East,2016-06-30,"<p>I apologise for the time it has taken to answer the hon Member’s question UIN 41519. This was due to an administrative error.</p><p>I refer the hon Member for West Bromwich East to the answer I gave to the hon Member for Bristol West 13 October 2016, UIN: 46432.</p>","Hands, Greg",2016-11-25,Labour
"Leslie, Charlotte","To ask the Secretary of State for International Trade, whether the Government plans to meet with the (a) Australian, (b) New Zealand and (c) Canadian governments to discuss the potential effect on trade with those countries of the UK leaving the EU.",41618,Bristol North West,2016-07-01,"<p>Until we have left the EU, the UK will remain a member of the EU with all of the rights and obligations that membership entails. In due course, Britain will be leaving the EU. This offers us an opportunity to forge a new role for ourselves in the world: to negotiate, in time, our own trade agreements and to be a positive and powerful force for free trade. We recognise the need for a smooth transition which minimises disruption to our trading relationships. It would be wrong to set out unilateral positions at this stage. Already though we have seen expressions of interest in future trade deals with the United Kingdom, such as from the Prime Minister of Australia.</p><p> </p>","Fox, Dr Liam",2016-08-26,Conservative
"Rosindell, Andrew","To ask the Secretary of State for International Trade, what steps he is taking in response to the outcome of the EU referendum to encourage foreign investment in the UK.",41877,Romford,2016-07-05,"<p>My Ministerial colleagues and I, as well as officials from the Department for International Trade, the Department for Exiting the EU and the Foreign and Commonwealth Office, are engaging with a wide range of businesses including current and prospective investors.</p><p>Prior to my appointment, BIS Ministers were communicating to these businesses through phone calls, letters, speeches and participation in roundtables and this work continues. We are engaging with businesses and speaking to investors, both in the UK and overseas, to reassure them that Britain is very much open for business.</p><p>We are also working with colleagues in the Cabinet Office, HM Treasury and other key departments to ensure a fully coordinated approach to this work and will continue with our marketing activities to promote Britain as a GREAT place in which to invest and with which to trade.</p>","Hands, Greg",2016-09-20,Conservative
"Brake, Tom","To ask the Secretary of State for International Trade, what countries the Government has made representations to on negotiating trade deals as a result of the outcome of the EU referendum.",41898,Carshalton and Wallington,2016-07-05,"<p>Leaving the EU offers us an opportunity to forge a new role for ourselves in the world: to negotiate our own trade agreements and to be a positive and powerful force for free trade.</p><p>We have been consulting, and will continue to consult, a broad range of stakeholders, including governments and business, on the implications of the referendum result.</p>","Garnier, Mark",2016-09-09,Liberal Democrat
"Rosindell, Andrew","To ask the Secretary of State for International Trade, of which governments states have made official representations to the Government since 24 June 2016 on negotiating a free trade deal with the UK.",41919,Romford,2016-07-05,"<p>Leaving the EU offers us an opportunity to forge a new role for ourselves in the world: to negotiate our own trade agreements and to be a positive and powerful force for free trade.</p><p>We have been consulting, and will continue to consult, a broad range of stakeholders, including governments and business, on the implications of the referendum result.</p>","Garnier, Mark",2016-09-09,Conservative
"Cunningham, Jim","To ask the Secretary of State for International Trade, pursuant to the Answer of 30 June 2016 to Question 41302, whether he has made an estimate of the total cost to his Department of hiring additional lawyers, and financial and trade experts as a result of the outcome of the EU referendum; and if he will make a statement.",42027,Coventry South,2016-07-06,<p>The new unit established by the Cabinet Office will review arrangements for the UK’s exit from the EU.</p>,"Hands, Greg",2016-08-11,Labour
"Smith, Andrew","To ask the Secretary of State for International Trade, if he will estimate the total (a) legal and (b) other costs to the public purse of conducting trade negotiations after the UK has provided notice under Article 50 of the Lisbon Treaty of its intention to leave the EU.",42100,Oxford East,2016-07-06,"<p>Until we leave, the UK will remain a full member of the EU, with all of the rights and obligations. My right hon. Friend the Prime Minister has established the Department for International Trade to promote British trade across the world and ensure the UK takes advantage of the huge opportunities open to us. My right hon. Friend the Prime Minister has also established a Department for Exiting the European Union for overseeing negotiations to leave the EU and establishing the future relationship between the UK and EU.</p>","Hands, Greg",2016-07-20,Labour
Lord Empey,"To ask Her Majesty’s Government what tariff levels UK exports of goods and services would be subject to if the UK traded under WTO regulations with the remaining 27 countries of the EU, listed by category.",HL1161,NA,2016-07-12,"<p>If the UK were to leave the EU without having negotiated a preferential trade deal, then under WTO rules neither the UK nor the EU could offer each other better market access than that offered to all other WTO members.</p><p> </p><p>The bound levels of access for goods and services into the EU under WTO rules are set out in the EU’s schedules of commitments and are publicly available on the WTO website.</p><p> </p><p>The bound levels of access for goods and services from the EU into the UK under WTO rules would be an issue for the government to consider in due course.</p><p> </p><p> </p>",Lord Price,2016-07-25,Not found
Lord Empey,"To ask Her Majesty’s Government what tariffs would apply to imports to the UK from the 27 member states remaining in the EU if trade between the EU and the UK was conducted in accordance with WTO regulations, listed by category.",HL1162,NA,2016-07-12,"<p>If the UK were to leave the EU without having negotiated a preferential trade deal, then under WTO rules neither the UK nor the EU could offer each other better market access than that offered to all other WTO members.</p><p> </p><p>The bound levels of access for goods and services into the EU under WTO rules are set out in the EU’s schedules of commitments and are publicly available on the WTO website.</p><p> </p><p>The bound levels of access for goods and services from the EU into the UK under WTO rules would be an issue for the government to consider in due course.</p><p> </p><p> </p>",Lord Price,2016-07-25,Not found
Lord Chidgey,"To ask Her Majesty’s Government, in the light of the potential effects on investment of uncertainty around issues of future market access, whether they plan to commit to (1) extending bilaterally the duty- and quota-free access that the least developed countries have had to the UK market since 2001 once the UK’s exit from the EU is completed; (2) honouring the duty- and quota-free market access granted to Caribbean countries since 2008 until new bilateral trade agreements have been concluded; and (3) unilaterally extending the duty- and quota-free access granted to sub-Saharan countries under the transitional arrangements established since 2008 until new bilateral trade agreements have been concluded.",HL1181,NA,2016-07-13,"<p>While the UK is still a member of the EU, all rights and obligations will apply. There will be no initial change in the way we trade with developing countries. The new Department for International Trade will work with the Department for International Development on the structure and access to the UK’s markets to be offered to developing countries. This will reflect the UK’s longstanding support for Least Developed Countries and other developing country trading partners including through preferential trade agreements. This recognises that trade can be an effective way of growing economies and reducing poverty internationally.</p><p> </p>",Lord Price,2016-07-25,Not found
Lord Chidgey,"To ask Her Majesty’s Government whether they plan to continue to recognise EU sanitary and phytosanitary (SPS) and food safety approvals for imports of agricultural products from the African, Caribbean and Pacific group countries once the UK’s exit from the EU is complete, or whether they plan to require exporters from those countries to secure separate SPS and food safety approvals for exports to the UK.",HL1182,NA,2016-07-13,"<p>A new Department for Exiting the European Union has been established by my right hon. Friend the Prime Minister, to oversee arrangements for the UK’s exit from the EU after we have triggered Article 50. Until then the UK remains a full member of the EU.</p>",Lord Price,2016-07-22,Not found
"Lammy, David","To ask the Secretary of State for International Trade, what estimate his Department has made of the length of time it will take to negotiate trade agreements with the UK's major trading partners outside of the EU when the UK leaves the EU.",42585,Tottenham,2016-07-13,"<p>My hon Friend the Prime Minister has established the Department for International Trade to promote British trade across the world and ensure the UK takes advantage of the huge opportunities open to us. The pace of trade negotiations will vary country to country. The Prime Minister has also established a Department for Exiting the European Union for overseeing negotiations to leave the EU and establishing the future relationship between the UK and EU. However, until we leave, the UK will remain a full member of the EU, with all of the rights and obligations.</p>","Hands, Greg",2016-07-21,Labour
"Edwards, Jonathan","To ask the Secretary of State for International Trade, what plans he has to protect public services in future negotiations on trade agreements.",42711,Carmarthen East and Dinefwr,2016-07-13,<p>My Rt Hon Friend the Prime Minister has established the Department for International Trade to promote British trade across the world and ensure the UK takes advantage of the huge opportunities open to us.</p><p> </p><p>The trade agreements the UK is currently party to include specific guarantees for public services. Decisions on how to deliver public services for the best outcomes for UK citizens are made by the UK Government.<em> </em>The Government wants to ensure the continued provision of quality public services.</p><p> </p><p> </p>,"Fox, Dr Liam",2016-08-26,Plaid Cymru
"Edwards, Jonathan","To ask the Secretary of State for International Trade, when he plans to publish a basic set of guiding principles to govern future trade negotiations.",42715,Carmarthen East and Dinefwr,2016-07-13,<p>My Rt Hon Friend the Prime Minister has established the Department for International Trade to promote British trade across the world and ensure the UK takes advantage of the huge opportunities open to us. The Government is reviewing trade policy and is committed to ensuring that the UK remains open for business and continues to grow and thrive. We have a unique opportunity to shape a bright future for the UK as a global trading nation and open economy. Over the coming weeks and months the new Department for International Trade will engage with a wide range of stakeholders as we develop our trade strategy.</p>,"Hands, Greg",2016-09-02,Plaid Cymru
