"","Document_Number","Question_ID","Question_Text","Answer_Text","Question_MP","MP_Party","MP_Constituency","Answer_MP","Date","Answer_Date","Topic","Topic_Keywords"
"1",1,"124640","To ask the Secretary of State for International Trade, whether any Ministers in his Department attended the Presidents Club Charity Dinner run by the Meller Educatonal Trust in an official capacity.","<p>No Department for International Trade Ministers have attended the Presidents Club Charity Dinner.</p>","Phillips, Jess","Labour","Birmingham, Yardley","Hands, Greg",2018-01-24,2018-01-29,1,"ministers, official, farage"
"2",2,"124643","To ask the Secretary of State for International Trade, who has to date confirmed their attendance at the next meeting of the Board of Trade in the first quarter of 2018.","<p>The new Board of Trade is led by the President of the Board of Trade. The Secretaries of State for the Territorial Offices and other Department for International Trade Ministers have a standing invitation to attend the meetings. The work of the Board of Trade is supported by a group of advisers, who are also invited to the meetings. A full list of the advisers to the Board of Trade can be found at: <a href=""https://www.gov.uk/government/news/international-trade-secretary-dr-liam-fox-convenes-a-new-board-of-trade-to-ensure-the-benefits-of-free-trade-are-spread-throughout-the-uk"" target=""_blank"">https://www.gov.uk/government/news/international-trade-secretary-dr-liam-fox-convenes-a-new-board-of-trade-to-ensure-the-benefits-of-free-trade-are-spread-throughout-the-uk</a></p>","Kyle, Peter","Labour","Hove","Hands, Greg",2018-01-24,2018-01-29,2,"next, envoy, year"
"3",3,"124725","To ask the Secretary of State for International Trade, what vetting procedures the Export Control Joint Unit carries out on entities that apply to the Government for licenses to broker or deal arms.","<p>All export licence applications are considered on a case-by-case basis against the Consolidated EU and National Arms Export Licensing Criteria, known as the Consolidated Criteria, based on the most up-to-date information and analysis available, including reports from NGOs and our overseas network.</p><p> </p><p>The Export Control Joint Unit takes account of all relevant risks related to the Consolidated EU and National Arms Export Licensing Criteria when assessing licence applications. The criteria focus on the end use of the proposed transfers and therefore routine vetting procedures relate to end users rather than applicants.</p>","Russell-Moyle, Lloyd","Labour (Co-op)","Brighton, Kemptown","Stuart, Graham",2018-01-24,2018-01-29,3,"control, joint, unit"
"4",4,"124792","To ask the Secretary of State for International Trade, who the lead non-executive director and other non-executive director board members are in his Department.","<p>The names of the Department for International Trade’s four Non-Executive Board Members, including Lead Non-Executive Director, are publically available on the gov.uk website. This information can be found here:</p><p><a href=""https://www.gov.uk/government/organisations/department-for-international-trade"" target=""_blank"">https://www.gov.uk/government/organisations/department-for-international-trade</a></p>","Ruane, Chris","Labour","Vale of Clwyd","Hands, Greg",2018-01-24,2018-01-29,4,"remedies, board, authority"
"5",5,"124815","To ask the Secretary of State for International Trade, what recent discussions he has had with his counterparts in Commonwealth countries on future trade and investment between the UK and Commonwealth countries.","<p>My Rt Hon Friend the Secretary of State for International Trade regularly engages with his counterparts from Commonwealth countries, including at recent bilateral meetings at the 11th WTO MC11 Ministerial Conference meeting on 11 – 14 December 2017 and at the World Economic Forum Annual Meeting on 23 – 26 January.</p><p>Given the importance we place on increasing intra-Commonwealth Trade and Investment and the forthcoming Commonwealth Heads of Government Meeting (CHOGM) in London, the Secretary of State and the Ministerial team will continue to have these discussions.</p>","Afriyie, Adam","Conservative","Windsor","Stuart, Graham",2018-01-24,2018-01-29,5,"commonwealth, employed, countries"
"6",6,"124246","To ask the Secretary of State for International Trade, whether exports of Turkey's TF-X fighter will be subject to UK Government approval on a case-by-case basis; and if he will make a statement.","<p>It is planned that the TF-X aircraft will be built in Turkey, therefore approval of any future exports from Turkey will be a matter for the Turkish government.</p><p>Any components being supplied from the UK for the TF-X aircraft will however be subject to UK Government approval, as these components will require a UK Export Licence.</p>","Jones, Kevan","Labour","North Durham","Hands, Greg",2018-01-23,2018-01-29,6,"commissioners, held, fighter"
"7",7,"124286","To ask the Secretary of State for International Trade, what estimate he has made of the number of exhibitors at the Consumer Electronics Show 2017 that came from (a) the UK, (b) France, (c) the Netherlands, and (d) Israel; and what support his Department provided to exhibitors from the UK.","<p>The Consumer Electronics Show (CES) is an externally organised event. The Department for International Trade has not made an estimate of companies that attended from France, Israel, and the Netherlands and does not hold data for the Number of UK exhibitors.</p><p>DIT has boosted its support for UK companies exhibiting at CES in 2018, including by supporting more than 50 companies to attend.</p>","Onwurah, Chi","Labour","Newcastle upon Tyne Central","Stuart, Graham",2018-01-23,2018-01-29,7,"18, budget, 2017"
"8",8,"124349","To ask the Secretary of State for International Trade, what steps the Government is taking to ensure that arms sold to the Government of Sri Lanka are not used to violate the human rights of the Sri Lankan people.","<p>All export licence applications are considered on a case-by-case basis against the Consolidated EU and National Arms Export Licensing Criteria, known as the Consolidated Criteria, based on the most up-to-date information and analysis available, including reports from NGOs and our overseas network.</p><p>The Consolidated Criteria provide a thorough risk assessment framework and require us to assess the impact of providing equipment and its capabilities.</p><p>Licensing decisions for Sri Lanka take into account international humanitarian and human rights law as well as the type of goods. We do not issue any export licences where we assess there is a clear risk that the goods may be used for internal repression or external aggression.</p><p> </p><p> </p>","Shapps, Grant","Conservative","Welwyn Hatfield","Stuart, Graham",2018-01-23,2018-01-29,8,"territories, palestinian, midlands"
"9",9,"124371","To ask the Secretary of State for International Trade, if he will list the number of applications for export credit support and financing that UK Export Finance has received from Chemring and its subsidiaries in each of the past 10 years; and if he will list the value of the exports covered and the countries for which export support was provided.","<p>Where such information is not commercially sensitive, UK Export Finance (UKEF) publishes details of the companies it has supported on an annual basis in its Annual Report and Accounts which are presented to Parliament and can be found on UKEF’s website. These details include the value of UKEF’s support and the destination country of the export. The applications that UKEF has received from Chemring were in connection to a single export contract for bomb disposal equipment with the Indonesian National Police that UKEF supported.</p><p><a href=""https://www.gov.uk/government/collections/uk-export-finance-annual-reports-and-accounts"" target=""_blank"">https://www.gov.uk/government/collections/uk-export-finance-annual-reports-and-accounts</a></p>","Russell-Moyle, Lloyd","Labour (Co-op)","Brighton, Kemptown","Stuart, Graham",2018-01-23,2018-01-29,9,"provide, assist, private"
"10",10,"124373","To ask the Secretary of State for International Trade, on how many occasions the Defence and Security Organisation has provided direct assistance to Chemring or its subsidiaries in the last 10 years.","<p>According to our records the Department for International Trade’s Defence and Security Organisation (DIT DSO) has interacted with Chemring or its subsidiaries on 194 occasions since 2007.</p><p>An interaction can range from meeting company representatives on a stand at an exhibition, to providing introductions, to meetings with officials, or company visits.</p><p> </p>","Russell-Moyle, Lloyd","Labour (Co-op)","Brighton, Kemptown","Stuart, Graham",2018-01-23,2018-01-29,9,"provide, assist, private"
