"","member","word","freq"
"1","Abbott, Diane","infrastructure",1.28082607533727
"2","Abbott, Diane","london",1.23015354662468
"3","Abbott, Diane","squeezed",0.730625408471084
"4","Abbott, Diane","investment",0.635860743768772
"5","Abbott, Diane","adequacy",0.604768534868744
"6","Abbott, Diane","jobs",0.52511243036376
"7","Abbott, Diane","crime",0.484999983534159
"8","Abbott, Diane","address",0.442391924483759
"9","Abbott, Diane","33646",0.436055347408984
"10","Abbott, Diane","projects",0.421603097954214
"11","Abbott, Diane","real",0.412814685924596
"12","Abbott, Diane","dependencies",0.411312922568072
"13","Abrahams, Debbie","waiting",1.68413781006562
"14","Abrahams, Debbie","callers",1.59024565575212
"15","Abrahams, Debbie","helpline",1.40534009800759
"16","Abrahams, Debbie","time",1.40242085696833
"17","Abrahams, Debbie","self",1.37683558144641
"18","Abrahams, Debbie","universal",1.07875806363575
"19","Abrahams, Debbie","hm",0.947230120292252
"20","Abrahams, Debbie","customs",0.927948828537346
"21","Abrahams, Debbie","revenue",0.891972399745118
"22","Abrahams, Debbie","abandoned",0.850954842457626
"23","Abrahams, Debbie","inequalities",0.732500883096555
"24","Abrahams, Debbie","introduction",0.645576535350117
"25","Adams, Nigel","festivals",0.895394607877025
"26","Adams, Nigel","farm",0.749700613563917
"27","Adams, Nigel","agricultural",0.682662669057501
"28","Adams, Nigel","valuation",0.599466154823118
"29","Adams, Nigel","land",0.547096927104024
"30","Adams, Nigel","contactless",0.539297866296391
"31","Adams, Nigel","gambling",0.491312355738464
"32","Adams, Nigel","restructuring",0.451720630071038
"33","Adams, Nigel","game",0.439483585568396
"34","Adams, Nigel","385",0.437898015163564
"35","Adams, Nigel","became",0.423768752716986
"36","Adams, Nigel","rbs",0.422147088842372
"37","Afolami, Bim","comply",0.360724557612167
"38","Afolami, Bim","medium",0.316723217479995
"39","Afolami, Bim","programme",0.308777796681079
"40","Afolami, Bim","sized",0.305149351122438
"41","Afolami, Bim","help",0.302557949878754
"42","Afolami, Bim","digital",0.299259518881715
"43","Afolami, Bim","make",0.289588851199131
"44","Afolami, Bim","advice",0.279410217163641
"45","Afolami, Bim","small",0.248409331856555
"46","Afolami, Bim","required",0.244901228542867
"47","Afolami, Bim","providing",0.207172456768689
"48","Afolami, Bim","reference",0.183410274108769
"49","Afriyie, Adam","encourage",1.70074060086552
"50","Afriyie, Adam","simplification",1.49049354291234
"51","Afriyie, Adam","technology",1.33900560867233
"52","Afriyie, Adam","fintech",1.26666996844301
"53","Afriyie, Adam","uk",1.26657756975984
"54","Afriyie, Adam","investment",1.0940848616793
"55","Afriyie, Adam","entrepreneurs",1.09070707196149
"56","Afriyie, Adam","office",1.03527355278154
"57","Afriyie, Adam","budget",1.01530993596676
"58","Afriyie, Adam","contributed",0.937387471408251
"59","Afriyie, Adam","tax",0.915141271410636
"60","Afriyie, Adam","switch",0.877101728062462
"61","Ahmed-Sheikh, Tasmina","maladministration",2.78806176882391
"62","Ahmed-Sheikh, Tasmina","credit",2.71574134616948
"63","Ahmed-Sheikh, Tasmina","tax",1.9940701638612
"64","Ahmed-Sheikh, Tasmina","three",1.94092575434782
"65","Ahmed-Sheikh, Tasmina","quarterly",1.84871273239275
"66","Ahmed-Sheikh, Tasmina","concentrix",1.6802855798042
"67","Ahmed-Sheikh, Tasmina","returns",1.59369176760505
"68","Ahmed-Sheikh, Tasmina","months",1.59149441696833
"69","Ahmed-Sheikh, Tasmina","relating",1.52141768428465
"70","Ahmed-Sheikh, Tasmina","payment",1.50293726956281
"71","Ahmed-Sheikh, Tasmina","cases",1.46081626553414
"72","Ahmed-Sheikh, Tasmina","compensation",1.34538828136354
"73","Ainsworth, Bob","coventry",0.519777413371565
"74","Ainsworth, Bob","midlands",0.384418286661732
"75","Ainsworth, Bob","error",0.328112160522766
"76","Ainsworth, Bob","claimants",0.305238273406116
"77","Ainsworth, Bob","west",0.301339264959162
"78","Ainsworth, Bob","england",0.240792244585774
"79","Ainsworth, Bob","child",0.232137489982274
"80","Ainsworth, Bob","paid",0.222215343029965
"81","Ainsworth, Bob","working",0.203939451048621
"82","Ainsworth, Bob","five",0.199200281186195
"83","Ainsworth, Bob","credits",0.158650446912644
"84","Ainsworth, Bob","years",0.120436055642665
"85","Aldous, Peter","coastal",1.24713638144398
"86","Aldous, Peter","accommodation",0.940938674133161
"87","Aldous, Peter","attractions",0.922466533472954
"88","Aldous, Peter","potential",0.791444476463075
"89","Aldous, Peter","housing",0.787424587242497
"90","Aldous, Peter","communities",0.751217552626369
"91","Aldous, Peter","support",0.688662037119919
"92","Aldous, Peter","reduced",0.662436431621219
"93","Aldous, Peter","visitor",0.657486800266041
"94","Aldous, Peter","economic",0.648280425384128
"95","Aldous, Peter","cent",0.596273520149742
"96","Aldous, Peter","estimate",0.578333010698018
"97","Alexander, Douglas","ukraine",1.31007835517515
"98","Alexander, Douglas","imf",0.80085055297438
"99","Alexander, Douglas","billion",0.603785961622501
"100","Alexander, Douglas","released",0.597181398370162
"101","Alexander, Douglas","timeframe",0.50240447437036
"102","Alexander, Douglas","package",0.408891963156566
"103","Alexander, Douglas","towards",0.384614047949437
"104","Alexander, Douglas","russian",0.376565276611056
"105","Alexander, Douglas","interim",0.370232934024139
"106","Alexander, Douglas","monetary",0.351169381503328
"107","Alexander, Douglas","likely",0.31087494206126
"108","Alexander, Douglas","international",0.279318121554123
"109","Alexander, Heidi","housing",0.596179475125129
"110","Alexander, Heidi","economy",0.553555695929134
"111","Alexander, Heidi","market",0.5444452160487
"112","Alexander, Heidi","released",0.421148766403793
"113","Alexander, Heidi","land",0.391011093944333
"114","Alexander, Heidi","building",0.384137529321758
"115","Alexander, Heidi","homes",0.370076639596885
"116","Alexander, Heidi","purpose",0.362187409378624
"117","Alexander, Heidi","may",0.325888350254019
"118","Alexander, Heidi","new",0.28484344618818
"119","Alexander, Heidi","2010",0.257379528438753
"120","Alexander, Heidi","made",0.200645994164791
"121","Ali, Rushanara","remittances",1.69432731318984
"122","Ali, Rushanara","somalia",0.931820415599494
"123","Ali, Rushanara","corridor",0.832944218282779
"124","Ali, Rushanara","safe",0.832944218282779
"125","Ali, Rushanara","suspected",0.812543779477249
"126","Ali, Rushanara","border",0.809156816655149
"127","Ali, Rushanara","cross",0.791775232155167
"128","Ali, Rushanara","terrorism",0.748960971543813
"129","Ali, Rushanara","pilot",0.689158086569478
"130","Ali, Rushanara","freezing",0.680901986934408
"131","Ali, Rushanara","made",0.664087357860941
"132","Ali, Rushanara","reduction",0.652052630074363
"133","Allan, Lucy","abbey",0.850337102512011
"134","Allan, Lucy","parkside",0.850337102512011
"135","Allan, Lucy","leases",0.722124348049137
"136","Allan, Lucy","court",0.522793505983714
"137","Allan, Lucy","house",0.444960268940421
"138","Allan, Lucy","30728",0.408389531765716
"139","Allan, Lucy","expiration",0.346063422896709
"140","Allan, Lucy","end",0.297519292507908
"141","Allan, Lucy","buildings",0.215495692097313
"142","Allan, Lucy","hm",0.215358455983479
"143","Allan, Lucy","offices",0.211561197077041
"144","Allan, Lucy","customs",0.210974738518475
"145","Allen, Graham","reconsideration",1.90665314542778
"146","Allen, Graham","mandatory",1.79093188687768
"147","Allen, Graham","concentrix",1.7262678990613
"148","Allen, Graham","credit",1.09563361212929
"149","Allen, Graham","contract",0.713828654298985
"150","Allen, Graham","claim",0.66496228189559
"151","Allen, Graham","applications",0.64618419810205
"152","Allen, Graham","tax",0.614598054962495
"153","Allen, Graham","decision",0.566780228236169
"154","Allen, Graham","january",0.551204121813243
"155","Allen, Graham","44728",0.54063960040615
"156","Allen, Graham","month",0.532269808858078
"157","Allin-Khan, Dr Rosena","guidelines",0.837564079028952
"158","Allin-Khan, Dr Rosena","closed",0.707358366359459
"159","Allin-Khan, Dr Rosena","flat",0.668236274965161
"160","Allin-Khan, Dr Rosena","20",0.638223974258813
"161","Allin-Khan, Dr Rosena","considering",0.573624815281733
"162","Allin-Khan, Dr Rosena","fat",0.523462668627548
"163","Allin-Khan, Dr Rosena","account",0.520229323694981
"164","Allin-Khan, Dr Rosena","vat",0.507829356537653
"165","Allin-Khan, Dr Rosena","insurance",0.500317716280297
"166","Allin-Khan, Dr Rosena","nhs",0.480889561851797
"167","Allin-Khan, Dr Rosena","guidance",0.443903163575434
"168","Allin-Khan, Dr Rosena","found",0.40744282951512
"169","Amess, Sir David","barclays",5.2627464432556
"170","Amess, Sir David","renewal",2.83518289627293
"171","Amess, Sir David","will",2.5055572156882
"172","Amess, Sir David","bank",2.34003010385445
"173","Amess, Sir David","contractors",2.22877715828375
"174","Amess, Sir David","insurance",2.19577920200747
"175","Amess, Sir David","motor",2.09585653489148
"176","Amess, Sir David","auto",1.59501049754962
"177","Amess, Sir David","chief",1.5422434042485
"178","Amess, Sir David","competition",1.44390746602086
"179","Amess, Sir David","private",1.43384794019942
"180","Amess, Sir David","market",1.38374861797916
"181","Anderson, David","families",1.69517185672911
"182","Anderson, David","income",1.40653979381057
"183","Anderson, David","benefit",1.37256210656503
"184","Anderson, David","child",1.23853301766832
"185","Anderson, David","parent",0.962814385323613
"186","Anderson, David","low",0.953815986920163
"187","Anderson, David","effects",0.781254424203265
"188","Anderson, David","claim",0.753103236460067
"189","Anderson, David","single",0.689906355853832
"190","Anderson, David","fuel",0.679842339808953
"191","Anderson, David","blaydon",0.664957625773173
"192","Anderson, David","credit",0.650457582270619
"193","Andrew, Stuart","growth",0.73393818950701
"194","Andrew, Stuart","economy",0.637215821336536
"195","Andrew, Stuart","made",0.230970077464383
"196","Andrew, Stuart","mr",0.0257636080046932
"197","Andrew, Stuart","chancellor",0.0254803307525884
"198","Andrew, Stuart","exchequer",0.0251106269334809
"199","Andrew, Stuart","budget",0
"200","Andrew, Stuart","exist",0
"201","Andrew, Stuart","financy",0
"202","Andrew, Stuart","increas",0
"203","Andrew, Stuart","offic",0
"204","Andrew, Stuart","paid",0
"205","Ansell, Caroline","test",0.716266571235429
"206","Ansell, Caroline","launched",0.49860434965785
"207","Ansell, Caroline","implement",0.480696313898088
"208","Ansell, Caroline","family",0.475774192892137
"209","Ansell, Caroline","soft",0.452044543389985
"210","Ansell, Caroline","drinks",0.434907239350348
"211","Ansell, Caroline","consult",0.359157414602691
"212","Ansell, Caroline","levy",0.329548535366974
"213","Ansell, Caroline","industry",0.321418215905758
"214","Ansell, Caroline","will",0.297258330748684
"215","Ansell, Caroline","mr",0.0319047836377829
"216","Ansell, Caroline","chancellor",0.0315539826383166
"217","Antoniazzi, Tonia","protocol",0.447211647186626
"218","Antoniazzi, Tonia","compliance",0.447211647186626
"219","Antoniazzi, Tonia","compliance",0.367122552369799
"220","Antoniazzi, Tonia","access",0.323216048588234
"221","Antoniazzi, Tonia","may",0.320025048132469
"222","Antoniazzi, Tonia","introduced",0.301530920204165
"223","Antoniazzi, Tonia","industry",0.288288639819605
"224","Antoniazzi, Tonia","banking",0.218724125879624
"225","Antoniazzi, Tonia","2015",0.189795046877303
"226","Antoniazzi, Tonia","mr",0.0123449392099721
"227","Antoniazzi, Tonia","chancellor",0.0122092035453026
"228","Antoniazzi, Tonia","exchequer",0.0120320555630889
"229","Argar, Edward","life",0.579968920571084
"230","Argar, Edward","save",0.559225801057645
"231","Argar, Edward","personal",0.540487742613118
"232","Argar, Edward","review",0.532901070051868
"233","Argar, Edward","support",0.509814911014989
"234","Argar, Edward","findings",0.485734523039746
"235","Argar, Edward","later",0.405636126020456
"236","Argar, Edward","course",0.400437144041183
"237","Argar, Edward","holders",0.384588307836106
"238","Argar, Edward","advice",0.382658737415773
"239","Argar, Edward","people",0.365822386131794
"240","Argar, Edward","consultation",0.355855624610413
"241","Arkless, Richard","tourism",0.777891827222373
"242","Arkless, Richard","1955",0.625663131499736
"243","Arkless, Richard","1997",0.617282401584003
"244","Arkless, Richard","malawi",0.453500680564751
"245","Arkless, Richard","commissioner",0.447470394037671
"246","Arkless, Richard","vat",0.44600604388404
"247","Arkless, Richard","established",0.43029469237526
"248","Arkless, Richard","treaty",0.402146599027918
"249","Arkless, Richard","unpaid",0.401867864132309
"250","Arkless, Richard","aid",0.397751736459074
"251","Arkless, Richard","rate",0.395068476870981
"252","Arkless, Richard","infrastructure",0.381717201210479
"253","Ashworth, Jonathan","dorneywood",3.00484052951614
"254","Ashworth, Jonathan","2015",2.84558525018305
"255","Ashworth, Jonathan","month",2.21920638934491
"256","Ashworth, Jonathan","spent",1.90129227547617
"257","Ashworth, Jonathan","nonconsolidated",1.7562227751658
"258","Ashworth, Jonathan","panama",1.70169776630671
"259","Ashworth, Jonathan","taskforce",1.6795510927957
"260","Ashworth, Jonathan","barbecue",1.66354715775423
"261","Ashworth, Jonathan","may",1.65199709401777
"262","Ashworth, Jonathan","12",1.48639801712999
"263","Ashworth, Jonathan","launch",1.46640283866439
"264","Ashworth, Jonathan","diesel",1.46036334431351
"265","Attlee, Earl","ten",0.464514962738737
"266","Attlee, Earl","largest",0.448159725113092
"267","Attlee, Earl","heads",0.403050548830811
"268","Attlee, Earl","social",0.307623114109067
"269","Attlee, Earl","security",0.302030085204474
"270","Attlee, Earl","expenditure",0.28890111439034
"271","Attlee, Earl","17",0.260866285646304
"272","Attlee, Earl","total",0.232872143858843
"273","Attlee, Earl","2016",0.17126092459897
"274","Attlee, Earl","budget",0
"275","Attlee, Earl","exist",0
"276","Attlee, Earl","financy",0
"277","Austin, Ian","nontransport",1.89247061203379
"278","Austin, Ian","landfill",1.70268300790334
"279","Austin, Ian","projects",1.56473740250264
"280","Austin, Ian","dudley",1.51446913154177
"281","Austin, Ian","communities",1.46794638563674
"282","Austin, Ian","fund",1.46074312128682
"283","Austin, Ian","combined",1.45802163674323
"284","Austin, Ian","midlands",1.44577433304459
"285","Austin, Ian","halves",1.33571489141173
"286","Austin, Ian","employee",1.20902182254114
"287","Austin, Ian","west",1.13331906918321
"288","Austin, Ian","infrastructure",1.08829017364884
"289","Bailey, Rebecca Long","15",19.0004064163643
"290","Bailey, Rebecca Long","14",18.6663660052331
"291","Bailey, Rebecca Long","2013",17.0501994876129
"292","Bailey, Rebecca Long","2014",15.7277795384802
"293","Bailey, Rebecca Long","relief",13.9846422122628
"294","Bailey, Rebecca Long","received",13.317632236946
"295","Bailey, Rebecca Long","people",12.7235469864687
"296","Bailey, Rebecca Long","business",9.07854981246554
"297","Bailey, Rebecca Long","tax",8.23636314146269
"298","Bailey, Rebecca Long","income",7.3857847945934
"299","Bailey, Rebecca Long","exempt",4.51578983799917
"300","Bailey, Rebecca Long","wholesaler",4.05932953297641
"301","Bain, William","evasion",0.767491206621153
"302","Bain, William","financial",0.696399418387728
"303","Bain, William","universal",0.539906682386432
"304","Bain, William","tax",0.508624672949443
"305","Bain, William","prosecuted",0.493807075200316
"306","Bain, William","year",0.492257107835472
"307","Bain, William","assigned",0.472759058466112
"308","Bain, William","two",0.45629372266489
"309","Bain, William","individuals",0.44758282092493
"310","Bain, William","receipt",0.410808367971133
"311","Bain, William","subsidiaries",0.403077943866216
"312","Bain, William","jurisdictions",0.393661786223405
"313","Baker, Norman","bequests",0.74911114009502
"314","Baker, Norman","donations",0.694588190998574
"315","Baker, Norman","held",0.45540535971075
"316","Baker, Norman","debt",0.423365479662978
"317","Baker, Norman","nature",0.393663815335257
"318","Baker, Norman","intestate",0.384808465139075
"319","Baker, Norman","lancaster",0.384808465139075
"320","Baker, Norman","gift",0.375377836414352
"321","Baker, Norman","duke",0.369942204251384
"322","Baker, Norman","duchy",0.355444815453593
"323","Baker, Norman","statements",0.348896576131056
"324","Baker, Norman","reception",0.341712957045019
"325","Baker, Steve","transparency",0.632646775329141
"326","Baker, Steve","notifications",0.585998929889893
"327","Baker, Steve","keep",0.578017720012727
"328","Baker, Steve","mortgage",0.556393045483242
"329","Baker, Steve","sustained",0.513029979478203
"330","Baker, Steve","accelerate",0.497645422993566
"331","Baker, Steve","price",0.481216668369895
"332","Baker, Steve","help",0.472903609839412
"333","Baker, Steve","circumstances",0.457869612666442
"334","Baker, Steve","incentives",0.455657393869542
"335","Baker, Steve","earnings",0.436723280203514
"336","Baker, Steve","fiscal",0.427936905288416
"337","Barclay, Stephen","formation",1.66210550285451
"338","Barclay, Stephen","company",0.810727897956383
"339","Barclay, Stephen","agents",0.777089783846967
"340","Barclay, Stephen","staff",0.697822368723717
"341","Barclay, Stephen","involved",0.670015569272903
"342","Barclay, Stephen","hm",0.665547844593234
"343","Barclay, Stephen","kuwaiti",0.621365194654784
"344","Barclay, Stephen","transformation",0.556215000739222
"345","Barclay, Stephen","sanctions",0.552246542575419
"346","Barclay, Stephen","regulating",0.551161921491127
"347","Barclay, Stephen","shut",0.547401234853618
"348","Barclay, Stephen","agencies",0.53683985939333
"349","Bardell, Hannah","tobacco",2.58682815902565
"350","Bardell, Hannah","authenticate",2.39497629585155
"351","Bardell, Hannah","codentify",2.18081842388152
"352","Bardell, Hannah","product",2.08635742587651
"353","Bardell, Hannah","pilot",1.36312154971407
"354","Bardell, Hannah","revenue",1.24879803243714
"355","Bardell, Hannah","hm",1.18734407014331
"356","Bardell, Hannah","customs",1.16317515179976
"357","Bardell, Hannah","tool",1.15378541457547
"358","Bardell, Hannah","purdah",1.14362943883281
